date	airt	f.airt	airtmax	f.airtmax	airtmin	f.airtmin	prec	f.prec
2002-04-15	15	Q	23	Q	8	Q	19.1	Q
2002-04-16	16	 	23	 	8	 	1	 
2002-04-17	21	 	31	 	12	 	0	 
2002-04-18	23	 	33	 	12	 	0	T
2002-04-19	21	 	32	 	9	 	0	 
2002-04-20	18	 	26	 	9	 	0.8	 
2002-04-21	8	 	15	 	0	 	1.5	 
2002-04-22	5	 	11	 	-1	 	0	T
2002-04-23	1	 	3	 	-2	 	6.6	 
2002-04-24	1	 	5	 	-3	 	0	 
2002-04-25	8	 	15	 	0	 	0	 
2002-04-26	4	 	13	 	-4	 	10.4	 
2002-04-27	2	 	8	 	-4	 	0	 
2002-04-28	6	 	14	 	-2	 	4.3	 
2002-04-29	2	 	6	 	-1	 	15.2	 
2002-04-30	3	 	7	 	-1	 	14.5	 
2002-05-01	4	 	9	 	-1	 	1.3	 
2002-05-02	4	 	12	 	-4	 	1.5	 
2002-05-03	2	 	8	 	-3	 	11.7	 
2002-05-04	0	 	11	 	-12	 	0	 
2002-05-05	9	 	19	 	0	 	0	 
2002-05-06	14	 	23	 	6	 	0	 
2002-05-07	16	 	26	 	7	 	0	 
2002-05-08	15	 	24	 	6	 	0	 
2002-05-09	13	 	20	 	6	 	0	 
2002-05-10	9	 	12	 	6	 	4.1	 
2002-05-11	13	 	23	 	3	 	0	 
2002-05-12	12	 	18	 	6	 	0	 
2002-05-13	8	 	11	 	4	 	16	 
2002-05-14	5	 	7	 	2	 	47.5	 
2002-05-15	6	 	13	 	-2	 	2.8	 
2002-05-16	4	 	14	 	-7	 	0	 
2002-05-17	12	 	26	 	-2	 	1	 
2002-05-18	9	 	19	 	-1	 	14	 
2002-05-19	3	 	8	 	-3	 	5.1	 
2002-05-20	6	 	13	 	-2	 	0	 
2002-05-21	6	 	13	 	-2	 	0	 
2002-05-22	7	 	14	 	0	 	0	 
2002-05-23	11	 	20	 	3	 	0	 
2002-05-24	15	 	25	 	6	 	0	 
2002-05-25	16	 	28	 	3	 	1	 
2002-05-26	14	 	21	 	7	 	0	 
2002-05-27	13	 	16	 	9	 	0.8	 
2002-05-28	20	 	27	 	14	 	0	 
2002-05-29	20	 	26	 	13	 	3.8	 
2002-05-30	19	 	25	 	14	 	0	 
2002-05-31	21	 	26	 	16	 	0	 
2002-06-01	19	 	27	 	11	 	5.8	 
2002-06-02	20	 	28	 	12	 	1	 
2002-06-03	12	 	21	 	4	 	0.3	 
2002-06-04	12	 	19	 	4	 	0	 
2002-06-05	17	 	23	 	11	 	4.6	 
2002-06-06	17	 	21	 	13	 	24.1	 
2002-06-07	14	 	19	 	9	 	33.8	 
2002-06-08	10	 	16	 	4	 	0.8	 
2002-06-09	15	 	22	 	9	 	1.3	 
2002-06-10	18	 	26	 	10	 	1	 
2002-06-11	18	 	23	 	12	 	0	 
2002-06-12	21	 	31	 	11	 	0.5	 
2002-06-13	11	 	13	 	8	 	7.1	 
2002-06-14	13	 	17	 	9	 	0.3	 
2002-06-15	13	 	18	 	8	 	5.6	 
2002-06-16	9	 	12	 	6	 	0.8	 
2002-06-17	10	 	14	 	6	 	11.4	 
2002-06-18	15	 	23	 	7	 	1.8	 
2002-06-19	17	 	24	 	11	 	0.3	 
2002-06-20	19	 	27	 	12	 	0.3	 
2002-06-21	20	 	28	 	12	 	0	 
2002-06-22	22	 	29	 	14	 	0	 
2002-06-23	20	 	25	 	16	 	3.8	 
2002-06-24	23	 	28	 	18	 	0.3	 
2002-06-25	18	 	27	 	10	 	0	 
2002-06-26	22	 	28	 	15	 	0	 
2002-06-27	25	 	32	 	18	 	3.3	 
2002-06-28	24	 	31	 	17	 	8.9	 
2002-06-29	20	 	27	 	13	 	7.6	 
2002-06-30	21	 	29	 	14	 	0.3	 
